Date,Location,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,RainToday,RainTomorrow,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,TomorrowTemp
2008-07-01,Melbourne,2.0,2.8,7.0,13,63.0,13,13,37.0,35.0,1.0,0.0,13.6,9.1,11.1,13.6,4.5,10.7,4.0,62.3,3.71,100,4.17,1007.1,59.0,13.9,,,,456,1031,0.93,10.6
2008-07-02,Melbourne,0.6,5.2,4.0,13,63.0,13,15,30.0,35.0,0.0,1.0,12.9,6.1,10.6,12.9,3.1,9.8,5.5,71.5,2.861,100,8.33,1014.6,80.6,13.3,,,,456,1032,0.96,9.6
2008-07-03,Melbourne,1.4,2.0,0.8,13,39.0,13,13,17.0,24.0,1.0,0.0,12.5,6.6,9.6,12.5,3.2,8.3,5.9,78.4,0.274,100,4.17,1023.8,87.0,14.4,,,,456,1032,0.0,8.9
2008-07-04,Melbourne,0.6,1.8,4.2,0,19.0,6,3,9.0,7.0,0.0,0.0,13.1,3.7,8.9,13.1,3.7,8.5,5.9,83.4,0.295,100,8.33,1028.4,75.8,11.7,,,,456,1033,0.03,7.9
2008-07-05,Melbourne,0.0,0.8,8.4,3,52.0,3,5,24.0,30.0,0.0,0.0,15.1,1.2,7.9,15.1,-1.0,6.6,4.0,78.1,0.076,100,4.17,1026.1,52.1,17.7,,,,455,1033,0.07,11.7
2008-07-06,Melbourne,0.0,2.8,3.0,3,74.0,3,6,31.0,44.0,0.0,0.0,15.1,7.9,11.7,15.1,5.3,11.1,4.9,64.4,0.171,100,4.17,1020.5,74.7,19.5,,,,455,1034,0.1,10.4
2008-07-07,Melbourne,0.0,3.0,1.0,5,57.0,3,3,28.0,22.0,0.0,1.0,13.1,6.1,10.4,13.1,2.3,9.5,6.4,76.9,2.858,100,8.33,1014.6,77.5,16.3,,,,455,1034,0.13,7.5
2008-07-08,Melbourne,5.0,1.2,0.3,3,37.0,3,3,13.0,11.0,1.0,1.0,9.0,6.1,7.5,8.2,2.6,5.1,5.5,87.2,2.123,100,16.67,1016.6,91.0,13.9,,,,455,1035,0.16,7.9
2008-07-09,Melbourne,1.2,0.4,6.5,3,35.0,3,15,11.0,17.0,1.0,1.0,13.1,2.5,7.9,13.1,0.0,6.8,4.7,81.6,0.0,0,0.0,1019.4,66.6,14.8,,,,455,1035,0.2,9.4
2008-07-10,Melbourne,3.0,2.2,7.0,14,69.0,3,14,15.0,46.0,1.0,0.0,12.1,6.1,9.4,12.1,0.3,7.4,3.4,67.7,3.626,100,12.5,1008.3,77.8,17.0,,,,454,1036,0.25,8.7
2008-07-11,Melbourne,0.2,1.8,5.6,15,52.0,13,15,26.0,26.0,0.0,0.0,12.1,5.6,8.7,12.1,2.1,6.4,4.4,74.7,1.648,100,12.5,1016.5,71.6,15.9,,,,454,1037,0.26,7.7
2008-07-12,Melbourne,0.0,2.0,0.0,3,91.0,3,3,22.0,46.0,0.0,0.0,9.9,4.6,7.7,7.4,1.4,4.3,2.8,71.9,0.0,0,0.0,1019.3,84.8,17.7,,,,453,1037,0.29,10.3
2008-07-13,Melbourne,0.0,3.8,4.2,3,87.0,3,3,33.0,44.0,0.0,0.0,13.1,7.9,10.3,13.1,2.8,8.6,3.9,64.9,0.024,100,4.17,1015.1,76.6,17.7,,,,453,1038,0.33,11.0
2008-07-14,Melbourne,0.0,2.6,9.4,3,54.0,11,3,7.0,26.0,0.0,0.0,17.1,5.5,11.0,17.1,3.6,10.3,5.2,70.0,0.0,0,0.0,1016.1,30.0,18.1,,,,453,1039,0.36,10.0
2008-07-15,Melbourne,0.0,2.8,3.4,5,39.0,3,3,17.0,24.0,0.0,0.0,16.1,5.4,10.0,16.1,4.1,9.2,6.2,78.7,0.0,0,0.0,1018.5,73.5,16.7,,,,452,1039,0.39,9.4
